[0.088s] Invoking command in '/home/pinky/pinky_pro/build/pinky_navigation': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/pinky/pinky_pro/install/pinky_led:/home/pinky/pinky_pro/install/pinky_emotion:/home/pinky/pinky_pro/install/pinky_bringup:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --build /home/pinky/pinky_pro/build/pinky_navigation -- -j4 -l4
[0.668s] Invoked command in '/home/pinky/pinky_pro/build/pinky_navigation' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/pinky/pinky_pro/install/pinky_led:/home/pinky/pinky_pro/install/pinky_emotion:/home/pinky/pinky_pro/install/pinky_bringup:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --build /home/pinky/pinky_pro/build/pinky_navigation -- -j4 -l4
[0.741s] Invoking command in '/home/pinky/pinky_pro/build/pinky_navigation': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/pinky/pinky_pro/install/pinky_led:/home/pinky/pinky_pro/install/pinky_emotion:/home/pinky/pinky_pro/install/pinky_bringup:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --install /home/pinky/pinky_pro/build/pinky_navigation
[0.795s] -- Install configuration: ""
[0.824s] -- Up-to-date symlink: /home/pinky/pinky_pro/install/pinky_navigation/share/pinky_navigation/map/my_map.pgm
[0.824s] -- Up-to-date symlink: /home/pinky/pinky_pro/install/pinky_navigation/share/pinky_navigation/map/my_map.yaml
[0.825s] -- Up-to-date symlink: /home/pinky/pinky_pro/install/pinky_navigation/share/pinky_navigation/map/pinklab.png
[0.826s] -- Up-to-date symlink: /home/pinky/pinky_pro/install/pinky_navigation/share/pinky_navigation/map/pinklab.yaml
[0.827s] -- Up-to-date symlink: /home/pinky/pinky_pro/install/pinky_navigation/share/pinky_navigation/rviz/map_building.rviz
[0.828s] -- Up-to-date symlink: /home/pinky/pinky_pro/install/pinky_navigation/share/pinky_navigation/rviz/nav2_view.rviz
[0.830s] -- Up-to-date symlink: /home/pinky/pinky_pro/install/pinky_navigation/share/ament_index/resource_index/package_run_dependencies/pinky_navigation
[0.831s] -- Up-to-date symlink: /home/pinky/pinky_pro/install/pinky_navigation/share/ament_index/resource_index/parent_prefix_path/pinky_navigation
[0.832s] -- Up-to-date symlink: /home/pinky/pinky_pro/install/pinky_navigation/share/pinky_navigation/environment/ament_prefix_path.sh
[0.833s] -- Up-to-date symlink: /home/pinky/pinky_pro/install/pinky_navigation/share/pinky_navigation/environment/ament_prefix_path.dsv
[0.834s] -- Up-to-date symlink: /home/pinky/pinky_pro/install/pinky_navigation/share/pinky_navigation/environment/path.sh
[0.836s] -- Up-to-date symlink: /home/pinky/pinky_pro/install/pinky_navigation/share/pinky_navigation/environment/path.dsv
[0.837s] -- Up-to-date symlink: /home/pinky/pinky_pro/install/pinky_navigation/share/pinky_navigation/local_setup.bash
[0.838s] -- Up-to-date symlink: /home/pinky/pinky_pro/install/pinky_navigation/share/pinky_navigation/local_setup.sh
[0.840s] -- Up-to-date symlink: /home/pinky/pinky_pro/install/pinky_navigation/share/pinky_navigation/local_setup.zsh
[0.841s] -- Up-to-date symlink: /home/pinky/pinky_pro/install/pinky_navigation/share/pinky_navigation/local_setup.dsv
[0.842s] -- Symlinking: /home/pinky/pinky_pro/install/pinky_navigation/share/pinky_navigation/package.dsv
[0.905s] -- Up-to-date symlink: /home/pinky/pinky_pro/install/pinky_navigation/share/ament_index/resource_index/packages/pinky_navigation
[0.906s] -- Up-to-date symlink: /home/pinky/pinky_pro/install/pinky_navigation/share/pinky_navigation/cmake/pinky_navigationConfig.cmake
[0.907s] -- Up-to-date symlink: /home/pinky/pinky_pro/install/pinky_navigation/share/pinky_navigation/cmake/pinky_navigationConfig-version.cmake
[0.908s] -- Up-to-date symlink: /home/pinky/pinky_pro/install/pinky_navigation/share/pinky_navigation/package.xml
[0.915s] Invoked command in '/home/pinky/pinky_pro/build/pinky_navigation' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/pinky/pinky_pro/install/pinky_led:/home/pinky/pinky_pro/install/pinky_emotion:/home/pinky/pinky_pro/install/pinky_bringup:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --install /home/pinky/pinky_pro/build/pinky_navigation
